Country,CountryCode,Year,LifeExpectancy,NCDMortality,HealthExpPC,HealthExpGDP,Physicians,UHCIndex,OOPExpenditure,OldAgeDependency,GDPPerCapita,GDPGrowth,Diabetes,AdultObesity,PM25,HospitalBeds,NursesMidwives,UrbanPopulation,Unemployment,Population,PopulationDensity,GovHealthExpShare,GovHealthExpPC,DPTImmunization,HealthExpGDP_Imputed,OOPExpenditure_Imputed,Diabetes_Imputed,HospitalBeds_Imputed,NursesMidwives_Imputed,GovHealthExpShare_Imputed,GovHealthExpPC_Imputed,DPTImmunization_Imputed
Saudi Arabia,SAU,2000,72.607,19.5,493.36984253,4.2115941,0.924,74.0,18.46246338,3.74619588112881,22247.8566987439,4.71813422138024,25.1,27.28,62.5985899878844,,2.256,79.9704860819453,4.57,16177722.0,7.52560694797855,72.05238342,355.48474212,95.0,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,2001,72.951,19.2,482.10446167,4.46173573,0.849,75.0,18.03369141,3.72285747074235,21193.0922894351,0.344593196175438,25.35,27.98,59.7508629327144,,2.51775,80.155242811133,4.618,17041397.0,7.92737417953286,72.5404892,349.72093739,97.0,0,0,0,0,1,0,0,0
Saudi Arabia,SAU,2002,73.296,18.9,449.84130859,4.2493763,,76.0,18.45171165,3.68856997431791,20025.4319998275,-0.688390130317757,25.51,28.68,59.1641405359292,2.63,2.7795,80.3438134074234,5.265,17910910.0,8.33185715149626,72.31415558,325.29894699,95.0,0,0,0,0,1,0,0,0
Saudi Arabia,SAU,2003,73.657,18.7,457.08770752,3.97909737,,77.0,17.94919586,3.64823005034127,20765.9387688082,8.76873381743964,25.59,29.37,71.5848754228878,2.62,3.04125,80.5414456330177,5.563,18786767.0,8.73929124664486,72.37438965,330.81442372,95.0,0,0,0,0,1,0,0,0
Saudi Arabia,SAU,2004,74.027,18.6,471.45797729,3.58400965,,78.0,18.15097046,3.60593607614205,21545.894988606,8.63100545880309,25.6,30.06,68.2932433782135,2.6,3.303,80.7542316538166,5.822,19669480.0,9.1499146388549,71.47950745,336.99586025,96.0,0,0,0,0,1,0,0,0
Saudi Arabia,SAU,2005,74.4,18.5,545.73571777,3.4186728,,78.0,16.49158669,3.56591657052223,21838.1915349374,5.94489623934835,25.55,30.73,67.4821830709381,2.59,3.56475,80.9775503092999,6.051,20559890.0,9.56411854732543,72.49501038,395.63116988,96.0,0,0,0,0,1,0,0,0
Saudi Arabia,SAU,2006,74.762,18.7,634.81872559,3.61922002,,79.0,15.39395142,3.53183276701042,21616.3355772516,3.31348473625901,25.45,31.39,67.7907570198288,2.49,3.8265,81.2008588083072,6.254,21459144.0,9.9824365373612,72.98228455,463.30521541,96.0,0,0,0,0,1,0,0,0
Saudi Arabia,SAU,2007,75.066,18.7,662.00793457,3.56229162,,80.0,16.73869896,3.50469588492812,21196.7926036633,2.21365396372528,25.31,32.05,67.8152709042056,2.39,4.08825,81.4230015549063,5.734,22368313.0,10.4053668203322,70.38717651,465.96869269,96.0,0,0,0,0,1,0,0,0
Saudi Arabia,SAU,2008,75.301,18.1,663.14331055,2.97100711,1.971,80.0,19.36904335,3.48170058761576,21629.8405734551,6.2379875365458,25.13,32.71,69.9360488012175,2.31,4.35,81.6441431042994,5.085,23287877.0,10.8331326842475,63.59476471,421.7244215,98.0,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,2009,75.447,17.1,760.19476318,4.29042768,1.937,81.0,18.35076332,3.45724466877924,20577.5453445336,-1.06671711240203,24.93,33.36,71.5273718285632,2.31,4.578,81.8644480116889,5.377,24217654.0,11.2656494657369,64.98739624,494.03079727,98.0,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,2010,75.616,15.9,765.91680908,3.64786148,2.244,81.0,18.94513893,3.42487750628865,21830.1424272816,5.0395150823517,24.7,33.99,71.119486401735,2.31,5.159,82.0791668544465,5.55,23978487.0,11.1543929589848,61.93257141,474.35196483,98.0,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,2011,75.808,14.1,954.38873291,3.68218255,2.27,81.0,15.62115383,3.37921953703596,23314.5576023168,11.758820686671,24.43,34.59,73.8628444969087,2.25,5.157,82.2543876159947,5.77,25091867.0,11.6723187994548,67.06874847,640.09655128,98.0,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,2012,76.09,12.9,1093.15588379,3.98779845,2.273,81.0,15.15621376,3.31731776126942,23643.0358324647,5.76157382270968,24.14,35.14,74.6927141331945,2.26,5.162,82.4311918025358,5.622,26168861.0,12.1733184784783,68.28318787,746.44161677,98.0,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,2013,76.517,12.5,1189.67932129,4.42293596,2.426,82.0,14.35986423,3.23950435605515,23057.3494468535,2.94563789152025,23.85,35.66,73.0199085667751,2.31,5.354,82.6071884619102,5.6,27624004.0,12.8502267768841,69.59436035,827.94963704,98.0,0,0,0,0,1,0,0,0
Saudi Arabia,SAU,2014,77.116,12.7,1363.59155273,5.15800905,2.371,82.0,13.13586998,3.15282799223454,23404.7306039825,4.02467158380668,23.58,36.15,63.4135301727035,2.34,5.546,82.7822571294871,5.877,28309273.0,13.1690025073383,71.36855316,973.17544705,98.0,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,2015,77.776,12.9,1309.27148438,5.8620224,2.444,82.0,14.38336658,3.06466881460996,23256.1549553531,4.65512316652699,23.32,36.61,76.8126533634759,2.32,5.7675,82.9562773406163,5.6,29816382.0,13.8700845238151,68.47387695,896.50894357,98.0,0,0,0,0,1,0,0,0
Saudi Arabia,SAU,2016,78.354,13.1,1353.21813965,6.24142838,2.466,82.0,14.45141888,3.03777393943045,22783.0328538685,1.70404739202878,23.07,37.07,70.772740868008,2.31,5.989,83.129128630626,5.6,30954198.0,14.399377584675,69.59158325,941.72596034,98.0,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,2017,78.721,13.8,1400.90356445,6.03126049,2.676,82.0,14.3235302,3.14281679377222,23035.1199977707,1.18210705878283,22.74,37.54,73.9893846909783,2.37,4.73,83.300690534822,5.89,30977355.0,14.4101498355577,71.84702301,1006.50740052,98.0,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,2018,78.75,14.2,1488.9753418,5.34063101,2.899,80.0,15.89835358,3.30857818632274,24393.5188306638,3.2269508901591,22.33,38.0,72.6868758200635,2.48,6.078,83.4708425884849,6.029,30196281.0,14.0468072140634,70.29850006,1046.7272804,96.0,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,2019,78.313,14.3,1504.55249023,5.46743011,2.633,80.0,11.40407372,3.4126633949533,24905.6697428558,1.65158925617395,21.92,38.44,71.1180092701773,2.53,6.531,83.6394643268678,5.636,30063799.0,13.9851787932213,73.78594971,1110.1483721,96.0,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,2020,77.596,13.5,1574.70068359,6.64630127,3.076,81.0,10.08158016,3.50424445048,22827.671935548,-3.80478901996312,21.53,38.85,68.3959671214439,2.54,6.347,83.8064352851942,7.66,31552510.0,14.6777023663877,78.2905426,1232.84172529,95.0,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,2021,77.089,13.6,1654.74353027,5.93033648,3.2,82.0,10.15629482,3.62806576251194,24922.6716948944,6.51959698325419,21.16,39.23,73.6731291479972,2.46,6.432,83.9716349986538,6.621,30784383.0,14.320382473752,76.9837265,1273.88326268,97.0,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,2022,77.31,,1830.89074707,5.31400585,3.482,82.0,12.78343868,3.71973104337477,26706.917926066,12.0005874752929,20.81,39.55,77.7937502863318,2.44,6.233,84.1349430023993,5.589,32175224.0,14.9673785522564,77.13733673,1412.30034426,98.0,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,2023,78.732,,1825.2545166,5.68722248,3.406,83.0,14.11603928,3.85794559170086,25634.8237547841,0.542592439393161,,39.8,73.5179752363051,2.41,6.557,84.2962388315415,4.008,33702731.0,15.6779493787476,77.76662445,1419.43889462,97.0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,2000,76.347,11.6,706.03112793,2.39504457,1.616,73.0,22.08343506,1.63707358305082,56939.3600767998,10.852837927302,25.33,25.52,56.1314285251562,1.97,3.051,79.287092479995,2.25,3493575.0,49.1914249507181,68.83045959,485.96447217,94.0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,2001,77.621,11.2,689.29278564,2.48436403,1.759,74.0,15.08593273,1.73384730303855,54169.4135701565,1.39892161061073,25.72,26.19,56.390498735709,1.98,3.298,79.7469002624215,2.443,3723590.0,52.4301605181639,77.01039886,530.82708996,94.0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,2002,78.721,11.5,754.26220703,2.71770859,1.761,74.0,28.04150772,1.83485394133533,52216.8318338175,2.43337487237925,26.04,26.83,48.9007592225192,1.95,3.339,80.2705602850306,2.659,3956826.0,55.7142495071811,61.22885132,461.82610881,94.0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,2003,79.6,10.7,784.89343262,2.64634395,1.838,74.0,27.45693016,1.94174670639302,53619.1662875958,8.80057809996346,26.3,27.42,60.7690769621445,1.95,3.502,80.8489432668434,2.903,4192457.0,59.0320613911574,61.27508163,480.94414437,94.0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,2004,80.272,10.4,821.74920654,2.46225643,1.762,74.0,30.40838051,2.0605743460485,55611.4376344125,9.56652626277928,26.52,27.98,61.1629888436701,1.76,3.079,81.4729199268812,2.965,4428967.0,62.3622500704027,57.10731125,469.27888475,94.0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,2005,80.779,9.8,898.36480713,2.3202107,1.494,71.0,30.13919067,2.19755536899655,55363.5818196998,4.85513657996815,26.71,28.49,56.3211849082399,1.31,2.951,82.2122832763517,3.12,4664790.0,65.6827654181921,56.84106064,510.64004829,94.0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,2006,81.155,9.3,1031.14904785,2.3254137,1.407,71.0,29.70960617,2.25436350690054,56629.9713117545,9.83727922860218,26.87,28.96,53.0567535809252,1.395,2.963,82.5588968646829,2.964,5009100.0,70.5308363841172,57.30421829,590.89190145,92.0,0,0,0,1,0,0,0,0
United Arab Emirates,ARE,2007,81.438,8.5,1176.49328613,2.56602693,1.541,72.0,28.87625122,2.0918992450882,52038.6229393122,3.18441281459761,27.0,29.39,54.6263917893835,1.48,3.269,82.758608500318,2.934,5624635.0,79.1979019994368,58.67370224,690.29218744,92.0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,2008,81.591,7.7,1465.82446289,2.92857623,1.845,72.0,25.13651848,1.90587357173737,47922.6941430472,3.19181235452885,27.09,29.78,56.2632916050896,1.4,3.17,82.9658963549658,2.818,6302664.0,88.7449169248099,63.91038895,936.81406947,92.0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,2009,81.679,7.6,1531.02209473,4.05000162,1.792,73.0,16.1003685,1.80359437165503,42672.1946222627,-5.2429219073683,27.24,30.23,55.8795640874537,1.37,3.452,83.1701992996163,2.932,6707058.0,94.439003097719,73.68283844,1128.10050761,93.0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,2010,81.886,8.0,1619.98864746,3.74433136,1.749,72.0,17.94574356,1.7403544703958,42328.84668186,1.60285004336325,27.37,30.67,55.5370145912635,1.27,3.269,83.3714299144178,2.798,6869838.0,96.7310335116868,70.85415649,1147.82942054,94.0,0,0,0,0,0,0,0,0
